2026-04-06 20:28:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77fec3b6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71fd082, org.springframework.security.web.context.SecurityContextHolderFilter@32b273c1, org.springframework.security.web.header.HeaderWriterFilter@770635f8, org.springframework.web.filter.CorsFilter@6d50b8c2, org.springframework.security.web.authentication.logout.LogoutFilter@699794d, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@3bca3dee, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3392d69b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@420307f9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@399e43d0, org.springframework.security.web.access.ExceptionTranslationFilter@aad7ade, org.springframework.security.web.access.intercept.AuthorizationFilter@37eca4c0]
2026-04-06 20:28:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-06 20:28:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-04-06 20:28:06 [main] INFO  c.m.p.ProductServiceApplication - Started ProductServiceApplication in 14.701 seconds (process running for 19.086)
2026-04-06 20:30:02 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-06 20:30:02 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-06 20:30:02 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-06 20:37:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-06 20:37:28 [main] INFO  c.m.p.ProductServiceApplication - Starting ProductServiceApplication using Java 17.0.18 with PID 1992 (C:\Users\LENOVO\IdeaProjects\Microservices-Final\product-service\target\classes started by LENOVO in C:\Users\LENOVO\IdeaProjects\Microservices-Final)
2026-04-06 20:37:28 [main] DEBUG c.m.p.ProductServiceApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-06 20:37:28 [main] INFO  c.m.p.ProductServiceApplication - The following 1 profile is active: "dev"
2026-04-06 20:37:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-06 20:37:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-06 20:37:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 515 ms. Found 1 JPA repository interface.
2026-04-06 20:37:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-06 20:37:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-06 20:37:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.microservices.product.repository.ProductRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-04-06 20:37:30 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2026-04-06 20:37:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-04-06 20:37:32 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-06 20:37:32 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-06 20:37:32 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-04-06 20:37:32 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
